Role,Invested in Real Estate,Extra Hours,Invested in Stock Market,Favourite Sport,Gender,Languages Known,Sport Knowledge (in XP),Average no. of leaves/month,Trades Done,Married(1/0),Level of Education,Pay,ID Proof,Most Productive Hour,Tax Category,Income Category,Employer,Tax Paid,Id
1,0,0,1,5,1,3,79.0,3,53,-1,0,364.73,1,8,346,2,0,10844,77
1,1,0,1,6,1,1,37.0,4,53,-1,0,274.73,1,8,205,2,0,23616,79
1,1,0,0,4,1,2,61.0,2,57,0,0,2616.73,1,8,1039,2,0,27498,83
1,1,1,1,5,1,4,75.0,4,44,0,2,419.73,1,8,243,2,0,18523,84
1,1,0,1,2,0,2,73.0,1,49,0,1,446.73,1,8,526,2,0,26695,85
0,0,0,0,3,0,4,50.0,0,54,0,0,318.73,1,8,1464,2,0,30766,86
0,0,0,1,2,1,2,64.0,2,40,1,0,323.73,1,8,45,2,0,27304,90
1,1,1,1,5,1,1,35.0,3,28,0,0,425.73,1,8,210,2,0,20850,91
0,1,0,1,1,0,1,11.0,3,58,0,2,327.73,1,8,218,2,0,41888,93
0,0,0,1,5,0,4,61.0,5,55,-1,0,236.73,1,8,170,2,0,38252,94
1,1,0,1,1,1,3,32.0,2,58,0,2,354.73,1,8,98,2,0,10484,97
0,1,0,1,0,1,3,10.0,0,44,0,2,502.73,1,8,194,2,0,27429,99
0,1,0,1,3,0,4,67.0,1,50,0,1,401.73,1,8,226,2,0,17198,102
1,1,0,1,5,0,4,63.0,3,42,0,0,327.73,1,8,194,2,0,46427,105
0,1,0,1,1,0,2,48.0,0,57,1,0,303.73,1,8,511,2,0,10144,108
0,1,0,1,6,1,1,7.0,4,43,0,2,796.73,1,8,846,2,0,32012,109
1,1,0,1,0,1,2,46.0,2,27,-1,0,304.73,1,8,191,2,0,49381,110
0,1,0,1,1,0,1,3.0,3,34,0,1,721.73,1,8,283,2,0,48388,113
1,1,0,1,3,0,4,75.0,4,57,1,1,354.73,1,8,104,2,0,18229,114
0,1,0,1,2,1,4,33.0,5,39,0,0,3316.73,1,8,515,2,0,35603,116
1,1,0,1,4,0,3,8.0,5,31,1,2,416.73,1,8,361,2,0,14667,117
1,0,0,1,0,1,4,50.0,2,57,-1,2,535.73,1,8,175,2,0,29947,118
0,1,0,1,6,0,3,10.0,5,54,-1,0,329.73,1,8,436,2,0,12296,120
0,1,0,1,1,1,1,77.0,1,32,0,0,276.73,1,8,117,2,0,31134,122
0,1,0,1,4,1,2,24.0,1,31,1,0,378.73,1,8,259,2,0,24221,125
1,1,1,1,1,1,1,67.0,0,27,1,0,1091.73,1,8,58,2,0,23081,126
0,1,1,1,2,1,3,51.0,5,32,0,0,257.73,1,8,75,2,0,41435,127
1,1,0,0,0,1,3,99.0,4,53,0,0,2749.73,1,8,576,2,0,25442,129
0,0,0,1,2,1,2,81.0,3,53,0,1,1458.73,1,8,674,2,0,30675,130
0,1,0,1,0,1,1,22.0,2,30,1,0,490.73,1,8,342,2,0,19050,131
1,1,1,1,2,0,3,33.0,0,53,1,0,1075.73,1,8,97,2,0,15092,133
0,1,0,1,3,1,1,19.0,0,21,0,0,367.73,1,8,190,2,0,12010,135
1,1,0,1,0,1,4,74.0,3,32,1,0,276.73,1,8,298,2,0,12867,141
0,1,0,1,2,1,2,95.0,5,57,0,0,330.73,1,8,95,2,0,31316,144
1,1,0,1,2,1,1,38.0,0,31,0,0,295.73,1,8,68,2,0,12713,145
0,1,0,1,6,0,1,77.0,5,54,-1,1,281.73,1,8,154,2,0,30806,146
0,1,0,1,1,0,1,63.0,3,46,0,0,566.73,1,8,240,2,0,15698,147
0,1,0,1,5,0,3,78.0,3,38,0,2,269.73,1,8,2030,2,0,17193,152
1,1,0,1,4,1,4,80.0,5,37,0,0,291.73,1,8,82,2,0,11195,153
1,1,0,1,3,0,4,39.0,2,39,0,0,273.73,1,8,111,2,0,43955,155
1,1,0,1,4,0,1,81.0,4,49,0,0,2156.73,1,8,54,2,0,26360,156
1,1,0,1,0,1,2,18.0,2,58,1,0,489.73,1,8,235,2,0,28939,157
1,1,0,1,6,0,2,89.0,4,46,0,0,1177.73,1,8,125,2,0,20430,159
1,0,0,1,5,1,1,15.0,1,46,1,0,1978.73,1,8,104,2,0,39512,160
1,1,0,1,1,1,4,32.0,3,37,1,2,320.73,1,8,178,2,0,47937,161
1,1,0,1,0,0,3,58.0,5,38,0,0,1498.73,1,8,555,2,0,42321,163
0,1,0,1,5,1,2,44.0,0,24,1,0,355.73,1,8,225,2,0,14213,165
0,1,0,1,3,0,2,90.0,5,52,0,0,1651.73,1,8,237,2,0,34059,167
1,0,0,0,3,0,3,67.0,3,52,0,2,457.73,1,8,670,2,0,30166,168
0,0,0,1,4,0,3,77.0,5,48,0,1,273.73,1,8,230,2,0,25682,169
0,1,0,1,4,0,4,10.0,4,33,0,0,2495.73,1,8,1053,2,0,28560,170
0,1,1,1,3,0,3,88.0,0,42,0,0,1630.73,1,8,247,2,0,33842,171
1,1,0,1,1,0,3,25.0,1,51,0,0,292.73,1,8,249,2,0,36739,172
1,0,0,1,6,1,2,94.0,2,33,1,1,707.73,1,8,135,2,0,31534,173
1,1,0,1,4,0,3,88.0,5,58,-1,0,365.73,1,8,127,2,0,26239,174
1,1,0,1,2,1,2,61.0,3,51,-1,0,1424.73,1,8,409,2,0,41392,175
1,0,0,1,2,1,2,76.0,5,46,0,0,314.73,1,8,176,2,0,49177,176
0,1,0,1,6,0,1,35.0,0,32,0,0,547.73,1,8,16,2,0,19938,177
0,1,0,1,1,0,2,6.0,3,49,0,0,1434.73,1,8,714,2,0,44931,179
0,1,0,1,5,1,2,62.0,5,33,-1,0,1060.73,1,8,680,2,0,10544,181
0,1,0,1,0,1,4,54.0,5,33,1,0,332.73,1,8,1074,2,0,28519,182
1,1,0,1,6,1,4,75.0,4,36,0,0,280.73,1,8,413,2,0,35865,183
0,1,0,1,1,0,4,84.0,1,34,0,2,484.73,1,8,143,2,0,12091,184
0,1,0,1,3,0,2,60.0,0,56,0,1,508.73,1,8,164,2,0,29831,185
0,1,0,1,6,1,2,30.0,0,38,-1,0,4657.73,1,8,312,2,0,14840,186
1,0,0,1,5,1,1,64.0,5,52,0,0,4353.73,1,8,137,2,0,42417,187
0,1,0,1,1,0,4,2.0,2,29,1,2,273.73,1,8,559,2,0,37993,189
0,1,0,1,3,1,2,57.0,5,49,0,0,2400.73,1,8,169,2,0,13277,190
1,1,0,1,6,1,2,47.0,4,31,0,2,650.73,1,8,214,2,0,45062,191
1,1,0,1,5,1,1,52.0,5,32,0,0,516.73,1,8,288,2,0,35973,194
1,1,0,1,3,0,4,89.0,5,31,1,0,1494.73,1,8,306,2,0,23341,195
0,0,1,1,0,0,4,44.0,3,48,-1,2,446.73,1,8,95,2,0,19253,197
1,1,0,1,3,0,1,62.0,1,41,0,2,673.73,1,8,253,2,0,15685,198
1,1,0,1,6,1,3,1.0,4,59,-1,1,1701.73,1,8,79,2,0,42075,199
0,1,0,1,5,0,1,4.0,1,45,0,0,492.73,1,8,574,2,0,13962,200
0,1,0,1,4,1,3,71.0,1,46,0,2,280.73,1,8,283,2,0,39290,201
0,1,0,1,1,1,4,14.0,3,33,1,0,571.73,1,8,608,2,0,42441,203
0,1,0,1,3,0,2,76.0,4,33,0,0,273.73,1,8,468,2,0,33348,204
0,1,1,1,4,1,2,40.0,0,48,0,0,5972.73,1,8,378,2,0,14794,205
1,1,1,1,2,1,1,29.0,2,39,0,2,449.73,1,8,39,2,0,29035,206
1,1,0,1,4,1,1,52.0,2,39,0,2,790.73,1,8,248,2,0,12200,207
0,1,0,1,1,0,1,95.0,0,51,0,0,603.73,1,8,213,2,0,12718,211
1,0,0,1,0,1,2,80.0,5,57,-1,1,468.73,1,8,363,2,0,42383,212
0,1,0,1,3,0,4,49.0,5,34,0,0,574.73,1,8,207,2,0,11771,213
1,1,0,1,5,1,1,80.0,4,38,0,2,756.73,1,8,165,2,0,13523,215
1,1,0,1,2,1,3,22.0,3,45,0,2,301.73,1,8,335,2,0,15039,216
1,0,0,1,0,1,4,7.0,3,44,0,1,1238.73,1,8,174,2,0,34898,218
1,1,1,1,0,0,4,76.0,4,37,0,2,651.73,1,8,124,2,0,10393,219
1,1,0,1,2,0,3,32.0,4,38,0,0,492.73,1,8,354,2,0,36325,220
1,1,0,1,3,1,2,1.0,5,26,0,1,597.73,1,8,172,2,0,49050,221
0,0,1,1,3,1,3,1.0,3,53,0,0,273.73,1,8,133,2,0,12161,223
0,1,0,1,3,0,3,20.0,5,41,-1,0,478.73,1,8,1416,2,0,20401,224
0,1,0,1,1,1,3,5.0,5,56,0,0,1338.73,1,8,210,2,0,42422,226
1,1,0,1,4,1,4,82.0,3,31,1,2,307.73,1,8,24,2,0,49975,227
0,0,0,1,4,0,2,84.0,1,34,0,0,1306.73,1,8,235,2,0,14584,228
1,1,0,1,2,0,3,91.0,5,45,0,1,261.73,1,8,15,2,0,31790,230
1,1,0,1,3,1,4,84.0,4,29,0,0,308.73,1,8,727,2,0,14816,231
1,0,0,1,0,0,2,9.0,5,55,0,0,567.73,1,8,743,2,0,33090,232
1,0,0,1,2,1,3,70.0,0,51,0,0,2100.73,1,8,118,2,0,42010,233
1,1,0,1,1,1,2,91.0,2,53,0,1,900.73,1,8,244,2,0,16600,234
1,1,0,1,1,0,1,43.0,0,43,0,1,298.73,1,8,37,2,0,33561,235
0,1,0,1,3,0,3,46.0,0,35,0,1,273.73,1,8,76,2,0,16196,237
0,1,0,1,6,1,4,38.0,4,42,-1,0,339.73,1,8,203,2,0,41906,238
0,1,1,1,4,1,4,7.0,3,47,-1,1,264.73,1,8,386,2,0,12652,239
1,0,1,1,1,1,4,11.0,5,44,0,0,622.73,1,8,124,2,0,39706,240
0,1,0,1,3,1,1,35.0,5,41,0,0,650.73,1,8,699,2,0,35714,241
1,1,0,1,0,1,1,76.0,5,41,0,0,707.73,1,8,114,2,0,46798,243
0,0,0,1,4,0,2,80.0,1,40,0,0,548.73,1,8,405,2,0,45376,245
1,1,0,1,2,0,3,37.0,4,20,1,0,273.73,1,8,176,2,0,26069,246
0,1,0,1,6,0,4,39.0,5,38,0,2,480.73,1,8,36,2,0,17250,247
1,1,0,1,1,1,2,74.0,4,37,0,0,756.73,1,8,279,2,0,46294,248
0,1,0,1,1,0,1,16.0,2,49,0,0,2521.73,1,8,711,2,0,21875,249
1,1,0,1,2,0,3,33.0,4,47,0,0,701.73,1,8,47,2,0,20596,250
1,1,1,1,5,1,2,2.0,1,51,0,0,273.73,1,8,178,2,0,22624,251
0,1,0,1,6,1,3,57.0,3,32,1,0,273.73,1,8,139,2,0,19685,252
0,1,0,1,2,0,2,13.0,3,48,1,2,570.73,1,8,116,2,0,13558,254
0,1,0,1,1,1,1,39.0,3,57,-1,0,1174.73,1,8,70,2,0,22721,256
1,1,1,1,6,1,1,63.0,1,34,0,0,416.73,1,8,347,2,0,20433,258
1,1,0,1,5,0,2,93.0,5,51,0,0,343.73,1,8,608,2,0,16458,260
1,1,0,1,0,1,2,81.0,2,32,1,2,591.73,1,8,110,2,0,24225,261
0,1,0,1,5,1,4,84.0,3,35,0,0,548.73,1,8,129,2,0,12373,262
0,0,0,1,2,1,4,33.0,5,39,0,1,509.73,1,8,148,2,0,22476,264
1,1,0,1,1,1,4,15.0,1,28,1,2,298.73,1,8,86,2,0,18166,265
0,1,0,1,6,1,3,82.0,2,37,-1,0,75.27,1,8,608,2,0,17670,267
0,1,1,1,4,0,2,67.0,3,39,0,1,456.73,1,8,107,2,0,29442,268
0,1,0,1,5,0,4,35.0,3,38,0,1,273.73,1,8,460,2,0,12608,269
0,1,1,0,0,0,1,40.0,3,40,1,2,273.73,1,8,559,2,0,13145,270
0,1,0,1,0,0,3,43.0,0,38,-1,1,273.73,1,8,959,2,0,38064,271
1,1,0,1,0,0,2,24.0,4,55,0,0,1351.73,1,8,7,2,0,22224,272
0,0,0,1,3,0,1,20.0,3,54,-1,0,428.73,1,8,115,2,0,32751,273
1,1,0,1,0,0,3,63.0,4,35,0,0,463.73,1,8,89,2,0,48149,274
1,1,0,1,6,1,3,54.0,4,57,0,0,592.73,1,8,140,2,0,11496,275
1,1,0,1,1,1,4,12.0,3,37,-1,0,88.73,1,8,186,2,0,28961,276
1,1,0,1,5,0,1,39.0,4,36,1,0,843.73,1,8,72,2,0,49054,278
0,0,0,1,3,0,3,44.0,1,34,0,2,292.73,1,8,186,2,0,13289,279
0,0,0,1,3,1,3,60.0,3,48,0,1,334.73,1,8,618,2,0,44634,280
1,1,1,1,5,1,1,81.0,1,39,0,0,211.73,1,8,52,2,0,26586,281
1,0,0,1,6,1,4,5.0,4,52,0,2,531.73,1,8,307,2,0,12101,282
0,1,0,1,4,0,4,69.0,5,56,0,1,349.73,1,8,153,2,0,16873,283
0,1,0,1,6,0,4,56.0,3,28,1,0,273.73,1,8,2,2,0,13928,284
1,1,0,1,5,0,1,8.0,5,45,0,0,641.73,1,8,122,2,0,31626,286
1,1,0,1,1,1,2,34.0,2,48,1,2,612.73,1,8,-1,2,0,12992,287
1,1,0,1,4,0,1,11.0,1,30,0,0,1604.73,1,8,283,2,0,12918,288
0,1,0,1,0,0,2,8.0,1,38,0,0,945.73,1,8,161,2,0,21699,289
1,1,0,1,0,0,4,42.0,0,35,0,2,331.73,1,8,95,2,0,11255,290
1,1,0,1,2,1,2,77.0,1,22,1,0,696.73,1,8,223,4,0,11343,292
0,1,0,1,5,1,3,26.0,4,32,0,0,292.73,1,8,359,2,0,30004,294
1,0,0,1,2,1,4,3.0,3,29,1,0,276.73,1,8,197,2,0,28630,296
1,1,0,1,2,1,2,65.0,3,22,1,0,355.73,1,8,201,2,0,21712,297
1,1,0,1,3,1,4,36.0,3,40,-1,1,301.73,1,8,123,2,0,19038,298
1,1,0,1,0,0,1,79.0,0,55,0,0,1065.73,1,8,62,2,0,35642,299
0,1,0,1,6,0,3,34.0,5,40,0,0,681.73,1,8,104,2,0,48568,300
1,1,0,1,2,1,1,24.0,1,49,0,0,804.73,1,8,264,2,0,20506,301
1,1,0,1,4,1,1,26.0,1,55,0,0,484.73,1,8,245,2,0,41386,302
0,1,0,1,5,0,1,75.0,3,34,1,0,335.73,1,8,212,2,0,47717,303
1,0,0,1,3,1,4,24.0,2,51,0,0,530.73,1,8,206,2,0,39689,304
0,1,0,1,6,0,1,48.0,2,48,0,0,1507.73,1,8,202,2,0,27414,305
1,1,1,1,6,1,1,43.0,0,52,1,2,586.73,1,8,80,2,0,22361,306
1,1,0,1,6,0,3,63.0,0,53,0,0,362.73,1,8,103,2,0,36761,307
1,1,1,1,6,0,3,58.0,0,42,0,0,402.73,1,8,186,2,0,44760,308
1,1,0,1,5,1,4,11.0,1,41,0,1,273.73,1,8,102,2,0,30831,309
1,1,0,1,5,0,3,57.0,0,54,0,0,626.73,1,8,103,2,0,22416,310
1,1,0,1,5,1,3,64.0,3,52,0,2,1124.73,1,8,105,2,0,21822,311
0,0,1,1,0,0,1,89.0,1,53,-1,1,369.73,1,8,308,2,0,42585,312
0,1,0,1,2,1,4,45.0,1,44,0,0,84.27,1,8,355,2,0,38265,315
1,1,1,1,0,1,1,97.0,1,34,0,0,812.73,1,8,450,2,0,30853,316
1,1,0,1,2,1,3,18.0,2,49,1,0,273.73,1,8,361,2,0,38432,317
0,1,0,1,6,1,3,63.0,1,40,0,0,422.73,1,8,383,2,0,37415,319
0,0,0,1,3,0,4,49.0,1,30,-1,2,2831.73,1,8,145,2,0,13273,323
0,1,0,1,3,0,3,28.0,2,29,1,0,371.73,1,8,193,2,0,34426,324
1,1,0,1,4,0,1,8.0,2,38,1,0,709.73,1,8,228,2,0,18060,326
0,0,0,1,3,1,1,99.0,1,55,0,0,479.73,1,8,213,2,0,42079,328
0,1,0,1,1,0,1,96.0,1,39,1,0,563.73,1,8,237,2,0,36782,329
1,0,1,1,4,0,2,4.0,2,46,0,0,274.73,1,8,666,2,0,28586,330
1,1,1,1,5,0,4,76.0,0,28,1,0,183.27,1,8,140,2,0,14039,332
1,1,0,1,2,1,4,99.0,3,43,-1,2,24871.73,1,8,310,2,0,40154,334
1,1,1,1,3,0,1,11.0,3,47,0,0,303.73,1,8,132,2,0,47569,335
0,1,0,1,5,1,4,78.0,1,40,1,0,1295.73,1,8,143,2,0,39049,336
1,1,1,1,4,0,4,88.0,5,51,0,0,329.73,1,8,149,2,0,22698,337
1,0,0,1,0,1,4,14.0,0,49,1,0,271.73,1,8,399,2,0,11407,338
1,1,0,1,2,0,3,87.0,0,30,1,0,394.73,1,8,210,2,0,13962,339
1,1,0,1,6,1,4,44.0,4,39,1,0,1115.73,1,8,141,2,0,26859,340
1,1,0,1,4,0,2,6.0,4,48,0,1,1806.73,1,8,322,2,0,40654,343
1,0,0,1,3,0,1,87.0,1,51,0,2,291.73,1,8,500,2,0,43993,345
0,1,0,1,4,0,3,51.0,2,43,0,0,317.73,1,8,92,2,0,33239,346
0,1,0,1,1,1,2,56.0,4,37,0,1,173.73,1,8,677,2,0,37174,347
0,1,0,1,0,1,1,91.0,4,53,0,2,958.73,1,8,171,2,0,49095,349
1,1,0,1,6,0,2,59.0,3,43,0,0,339.73,1,8,805,2,0,33229,351
1,0,0,1,4,0,2,67.0,3,32,0,0,833.73,1,8,195,2,0,42726,352
1,1,0,1,3,1,1,70.0,4,34,0,0,273.73,1,8,192,2,0,48381,353
1,0,0,1,0,0,3,61.0,5,57,-1,1,300.73,1,8,344,2,0,49088,354
0,1,0,1,1,0,3,5.0,4,29,1,0,285.73,1,8,205,2,0,42756,355
0,1,0,1,6,0,2,11.0,1,42,1,0,307.73,1,8,401,2,0,20637,356
1,1,0,1,6,1,3,43.0,5,38,0,0,484.73,1,8,213,2,0,20058,358
0,1,0,1,0,0,4,22.0,5,44,1,2,650.73,1,8,95,2,0,23618,359
1,1,0,1,2,1,3,55.0,3,46,0,2,536.73,1,8,347,2,0,36132,360
0,1,0,1,3,0,3,0.0,4,40,0,0,1536.73,1,8,111,2,0,28373,361
1,1,0,1,0,0,4,24.0,5,25,0,0,281.73,1,8,85,2,0,27391,362
0,1,1,1,4,0,4,43.0,1,46,0,0,399.73,1,8,376,2,0,34406,363
1,1,0,1,2,1,4,31.0,4,44,0,2,1114.73,1,8,155,2,0,28149,365
1,1,1,1,0,0,3,1.0,0,36,-1,0,581.73,1,8,99,2,0,23419,366
1,1,0,1,5,1,2,2.0,1,41,-1,2,274.73,1,8,303,2,0,21019,367
0,1,0,1,6,1,3,33.0,5,21,1,0,430.73,1,8,51,2,0,34821,369
1,1,0,1,0,0,1,67.0,1,32,0,0,295.73,1,8,341,2,0,40343,370
0,1,1,1,1,1,4,50.0,5,36,0,0,319.73,1,8,192,2,0,23351,371
1,1,0,1,2,1,3,40.0,3,23,1,0,395.73,1,8,283,2,0,37737,373
0,1,0,1,4,1,4,86.0,2,46,0,0,404.73,1,8,186,2,0,32270,374
0,1,0,1,0,1,1,6.0,4,47,1,0,416.73,1,8,80,2,0,24081,375
0,1,0,1,1,0,2,97.0,1,41,0,1,371.73,1,8,232,2,0,17535,377
0,1,0,1,6,1,2,29.0,0,31,0,2,273.73,1,8,287,2,0,20575,378
0,1,0,1,5,1,3,13.0,0,53,0,0,497.73,1,8,229,2,0,37467,379
0,1,1,1,3,0,1,56.0,2,47,0,0,518.73,1,8,315,2,0,35750,381
1,0,0,1,0,1,2,46.0,5,38,0,0,8759.73,1,8,257,2,0,38024,382
0,0,0,1,3,1,1,46.0,5,41,0,0,623.73,1,8,434,2,0,28535,383
1,0,0,1,4,0,1,67.0,5,36,0,0,293.73,1,8,399,2,0,36170,384
0,1,1,1,0,0,2,50.0,3,56,0,0,1940.73,1,8,82,2,0,39098,385
1,1,0,1,6,1,2,63.0,1,30,0,0,283.73,1,8,498,2,0,43380,387
0,1,1,0,6,1,3,26.0,2,54,0,2,1103.73,1,8,1198,2,0,19118,388
0,1,0,1,5,0,1,82.0,2,56,-1,0,302.73,1,8,250,2,0,34863,389
1,1,0,1,4,1,4,50.0,0,35,0,2,9003.73,1,8,146,2,0,37990,391
0,1,0,1,6,0,3,25.0,2,44,-1,2,750.73,1,8,111,2,0,28953,392
1,1,0,1,4,1,4,1.0,0,41,0,0,1478.73,1,8,766,2,0,35582,394
1,1,1,1,4,1,3,2.0,0,30,1,0,273.73,1,8,132,2,0,15099,395
0,0,0,1,6,1,4,76.0,1,36,0,0,274.73,1,8,73,2,0,46724,397
1,1,0,1,2,1,3,60.0,4,45,0,1,479.73,1,8,149,2,0,16462,399
1,1,0,1,4,1,1,44.0,1,40,0,1,290.73,1,8,121,2,0,19590,400
0,1,0,1,4,0,4,69.0,3,27,1,2,289.73,1,8,40,2,0,39856,402
1,1,0,1,6,1,1,46.0,4,48,0,0,479.73,1,8,151,2,0,20391,403
0,0,0,1,3,0,3,45.0,3,48,0,2,273.73,1,8,323,2,0,37602,405
0,0,0,1,4,0,4,86.0,5,56,0,2,273.73,1,8,390,2,0,44840,406
0,1,0,1,5,1,3,93.0,0,44,-1,1,2200.73,1,8,238,2,0,29879,407
0,1,0,1,2,1,3,56.0,5,36,0,0,557.73,1,8,480,2,0,22089,408
1,1,0,1,3,0,2,78.0,2,37,1,0,248.73,1,8,573,2,0,29028,412
0,1,0,1,2,0,1,82.0,2,46,0,0,455.73,1,8,177,2,0,39635,413
1,1,0,1,0,1,2,5.0,1,34,0,2,1442.73,1,8,165,2,0,46758,414
0,1,0,1,4,0,3,79.0,2,32,-1,0,340.73,1,8,87,2,0,41314,415
1,0,0,1,5,1,3,16.0,1,38,0,0,350.73,1,8,502,2,0,29302,416
1,1,0,1,3,0,1,22.0,1,41,0,0,273.73,1,8,242,2,0,16987,417
1,1,1,1,0,0,2,49.0,5,50,-1,1,328.73,1,8,183,2,0,35853,418
1,1,0,1,6,0,1,3.0,2,47,1,2,436.73,1,8,493,2,0,24686,420
0,1,0,1,4,0,4,57.0,4,30,1,2,424.73,1,8,115,2,0,11750,421
0,1,0,1,1,0,1,90.0,2,37,1,0,386.73,1,8,339,2,0,21772,422
1,0,0,1,2,1,2,32.0,4,36,1,2,282.73,1,8,182,2,0,45015,424
1,1,0,1,2,0,2,82.0,4,41,0,0,648.73,1,8,193,2,0,31955,425
0,1,0,1,3,1,1,2.0,4,37,0,0,1415.73,1,8,273,2,0,16610,426
0,1,0,1,1,1,3,78.0,4,52,0,1,2375.73,1,8,73,2,0,36314,427
1,1,0,1,3,1,3,95.0,4,38,0,0,490.73,1,8,192,2,0,17047,429
1,1,0,1,2,0,1,77.0,4,53,0,0,404.73,1,8,741,2,0,14777,430
1,1,0,1,1,1,1,88.0,2,40,1,2,1953.73,1,8,762,2,0,38494,431
1,1,0,1,1,1,3,32.0,2,37,0,0,273.73,1,8,259,2,0,37967,432
