Age,SSec_Category,Hobby,Education_Duration,Profession,Working_Hours,Investment,Loan,Dependents,Yearly_Breaks,Number_of_Siblings,City,Income,Debt_Paid,Id,Gender_F,Gender_M,Housing_Apartment,Housing_Bungalow,Housing_Condo,Housing_Slum,Housing_Trailer,Housing_Treehouse,Loan Status_Applied,Loan Status_Critical,Loan Status_EMI,Loan Status_In Search,Loan Status_Not Applied,Loan Status_Overdue,Loan Status_Paid,Loan Status_Pending,Marital_Status_Divorced,Marital_Status_Divorced with Children,Marital_Status_Engaged,Marital_Status_Married,Marital_Status_Separated,Marital_Status_Single,Employer_Kind_MNC,Employer_Kind_Self-employed,Employer_Kind_Startup,Country_Canada
38.0,4,10,17.0,9,62.0,20.0,2000.0,1,0,3,38,199031.715,23341,20,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
33.0,2,6,6.0,4,42.0,20.0,2000.0,1,1,3,38,77170.543,22788,22,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
57.0,4,11,10.0,12,42.0,20.0,2000.0,5,1,2,38,105552.667,46377,24,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
54.0,4,9,14.0,12,42.0,20.0,2000.0,1,1,4,38,219404.823,36186,25,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
17.0,4,11,10.0,2,42.0,20.0,2000.0,4,1,4,38,160624.05,27928,26,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
37.0,4,11,10.0,3,0.0,20.0,2000.0,2,0,2,38,361736.683,39173,28,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21.0,4,7,13.0,10,54.0,20.0,2000.0,2,0,2,38,187629.305,31544,30,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
18.0,2,15,11.0,11,46.0,20.0,2000.0,4,1,2,38,266009.927,35666,31,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
43.0,4,9,14.0,3,42.0,20.0,3408.0,4,1,2,38,386197.336,22147,32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28.0,4,15,11.0,0,42.0,20.0,2000.0,4,1,2,38,57258.549000000006,12608,33,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
20.0,2,15,11.0,7,17.0,20.0,2000.0,1,0,3,38,315936.092,47049,34,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
46.0,4,1,8.0,6,0.0,20.0,2000.0,5,1,3,32,251032.962,10427,35,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
19.0,4,15,11.0,6,42.0,20.0,2000.0,4,1,3,38,196700.897,23694,36,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17.0,4,11,10.0,0,27.0,20.0,2000.0,6,0,2,38,546229.1170000001,20912,37,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29.0,4,15,11.0,11,40.0,20.0,2000.0,1,1,4,38,92444.002,29658,38,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
46.0,4,7,13.0,9,42.0,20.0,2000.0,1,1,4,38,266651.599,18333,39,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
29.0,4,6,6.0,6,45.0,20.0,2000.0,1,0,4,38,507476.683,36704,40,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
51.0,4,9,14.0,9,42.0,20.0,2000.0,1,0,2,38,93713.929,43715,41,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
51.0,4,11,10.0,6,40.0,20.0,2000.0,1,1,2,38,141330.72199999998,43638,46,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
42.0,4,12,15.0,3,42.0,20.0,2000.0,5,0,4,38,123649.717,26008,47,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
39.0,4,8,12.0,2,42.0,20.0,2000.0,1,1,3,38,100656.714,31164,48,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
27.0,4,8,12.0,9,0.0,20.0,2000.0,2,0,3,38,271256.344,10195,49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
16.0,4,11,10.0,7,32.0,20.0,2000.0,4,1,2,38,228455.076,44761,51,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
45.0,4,14,16.0,9,62.0,20.0,3902.0,6,1,4,15,49239.908,24653,52,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
48.0,4,9,14.0,3,57.0,20.0,2000.0,2,0,3,38,251696.945,15018,53,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
45.0,4,11,10.0,3,62.0,20.0,2000.0,2,0,2,38,116883.119,38284,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
41.0,4,15,11.0,12,42.0,20.0,2000.0,1,1,4,38,243765.046,11505,55,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
44.0,4,4,4.0,6,0.0,20.0,2000.0,1,0,2,25,222542.642,21933,56,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33.0,4,8,12.0,7,42.0,20.0,2000.0,1,1,3,32,54153.81,24126,57,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
39.0,4,11,10.0,0,50.0,20.0,2000.0,1,0,4,38,142138.41,32443,58,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
28.0,4,11,10.0,6,42.0,5033.0,2000.0,1,0,4,38,191068.361,35524,59,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
30.0,4,5,5.0,9,42.0,20.0,2000.0,2,0,3,38,298012.74,31347,61,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
40.0,4,10,17.0,9,0.0,20.0,2000.0,1,1,2,38,120342.335,11144,63,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27.0,4,15,11.0,12,60.0,20.0,2000.0,2,0,2,38,105395.401,30875,64,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34.0,4,11,10.0,2,42.0,20.0,2000.0,1,0,3,38,161278.726,13390,65,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
51.0,4,11,10.0,0,42.0,20.0,2000.0,6,1,2,38,162146.24,38017,67,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
47.0,4,15,11.0,3,52.0,20.0,2000.0,1,0,2,38,185191.887,33646,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
23.0,4,15,11.0,9,42.0,20.0,2000.0,4,1,3,38,205889.742,48993,69,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
17.0,4,15,11.0,9,0.0,20.0,2000.0,4,0,4,38,108251.665,46766,70,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
21.0,4,15,11.0,6,42.0,20.0,2000.0,2,1,4,38,204272.066,49724,73,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
16.0,4,1,8.0,7,24.0,20.0,2000.0,4,0,2,38,306591.238,25685,78,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
29.0,4,5,5.0,4,42.0,20.0,2000.0,1,0,4,38,125101.106,11128,79,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
50.0,4,9,14.0,7,42.0,20.0,2000.0,1,1,4,4,272036.88,14631,81,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
57.0,4,11,10.0,11,50.0,20.0,2000.0,1,1,4,38,158109.311,37524,83,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
42.0,4,11,10.0,2,0.0,14364.0,2000.0,2,1,2,38,342379.084,43217,84,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
51.0,4,11,10.0,11,37.0,20.0,2000.0,4,0,2,38,346075.37700000004,15953,85,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
47.0,4,11,10.0,10,42.0,20.0,2000.0,1,0,4,38,259620.014,32614,86,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
28.0,4,6,6.0,11,42.0,20.0,2000.0,2,0,2,38,57075.867,49345,88,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41.0,4,10,17.0,9,52.0,20.0,2000.0,2,0,2,38,409546.811,21784,89,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
55.0,4,8,12.0,9,42.0,20.0,2000.0,1,1,3,38,240974.01100000003,35433,90,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
26.0,2,15,11.0,6,27.0,20.0,2000.0,5,0,4,38,214850.237,44313,92,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
28.0,1,11,10.0,11,37.0,20.0,3573.0,6,0,3,38,114203.56,48592,93,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
27.0,4,15,11.0,5,52.0,20.0,2000.0,2,1,2,38,112224.753,26712,95,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
46.0,4,10,17.0,9,62.0,20.0,3902.0,1,0,3,38,195606.949,24294,96,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35.0,4,15,11.0,11,50.0,20.0,2000.0,1,1,2,38,201507.655,25104,97,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
46.0,4,7,13.0,3,0.0,20.0,2000.0,5,1,3,8,170925.922,14961,98,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
30.0,2,11,10.0,7,42.0,20.0,2000.0,4,0,2,38,254268.746,27080,99,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
74.0,4,12,15.0,3,42.0,20.0,2000.0,1,0,4,38,120831.348,13762,100,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
42.0,4,9,14.0,3,62.0,15044.0,2000.0,1,1,2,38,203922.001,38425,101,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
45.0,4,12,15.0,9,52.0,20.0,2000.0,2,0,2,38,150625.39,38583,102,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
30.0,4,11,10.0,2,0.0,7708.0,2000.0,1,0,2,38,313164.374,11161,105,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
15.0,4,0,7.0,9,34.0,34115.0,2000.0,4,1,4,38,305804.504,33535,106,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
40.0,4,11,10.0,5,42.0,20.0,2000.0,1,0,3,38,128317.263,30455,109,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
22.0,4,9,14.0,11,42.0,20.0,2000.0,3,1,3,38,427483.318,38282,110,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
36.0,4,14,16.0,9,42.0,20.0,2000.0,1,0,3,38,71801.023,47289,111,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
54.0,4,11,10.0,7,0.0,20.0,3887.0,1,1,4,1,338387.313,20270,112,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
26.0,4,15,11.0,11,27.0,4084.0,2000.0,6,0,2,38,384201.621,14210,113,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
51.0,4,6,6.0,5,52.0,20.0,2000.0,1,1,4,38,97715.319,48683,115,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
47.0,2,8,12.0,2,42.0,20.0,2000.0,1,1,4,38,200119.366,44850,117,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20.0,4,11,10.0,2,0.0,20.0,2000.0,2,0,2,38,103549.289,25107,119,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
28.0,2,9,14.0,3,42.0,20.0,2000.0,4,1,4,10,75126.701,47522,122,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
27.0,4,9,14.0,9,52.0,20.0,2000.0,1,0,4,38,263603.083,28844,123,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
17.0,2,15,11.0,7,37.0,20.0,2000.0,4,1,3,38,302868.646,24271,124,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
18.0,4,15,11.0,0,0.0,20.0,3719.0,4,1,4,38,116587.453,43619,126,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29.0,4,7,13.0,0,42.0,20.0,2000.0,1,1,3,38,110942.375,32067,127,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
33.0,4,11,10.0,9,42.0,20.0,2000.0,1,0,3,38,126235.61,18359,128,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37.0,4,15,11.0,2,42.0,20.0,2000.0,2,0,3,38,373503.586,46586,129,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
26.0,4,7,13.0,11,62.0,20.0,2000.0,2,1,3,38,69379.378,26135,130,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
22.0,4,11,10.0,7,42.0,20.0,3762.0,2,0,4,38,52272.233,32288,131,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
35.0,4,9,14.0,11,0.0,20.0,2000.0,1,1,3,38,256690.913,40092,133,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
44.0,2,7,13.0,12,38.0,20.0,2000.0,2,0,4,38,146820.286,10859,134,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
36.0,4,12,15.0,9,42.0,20.0,2000.0,1,0,3,19,117986.654,19939,135,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
18.0,4,15,11.0,11,22.0,20.0,2000.0,4,0,4,38,40392.023,36564,138,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
43.0,4,8,12.0,9,42.0,20.0,3564.0,2,1,2,38,196140.908,40568,143,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
68.0,4,15,11.0,12,42.0,20.0,2000.0,3,0,2,38,107021.295,35124,144,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34.0,4,11,10.0,7,0.0,20.0,2000.0,5,0,2,38,108479.209,21969,147,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
45.0,4,15,11.0,0,40.0,20.0,2000.0,5,0,2,25,187043.851,22888,150,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
32.0,4,11,10.0,0,42.0,20.0,2000.0,2,1,2,38,190553.939,38011,151,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
31.0,1,9,14.0,3,42.0,20.0,2000.0,3,1,3,29,158494.169,10436,152,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19.0,4,11,10.0,2,37.0,20.0,2000.0,4,0,2,38,300226.974,11003,153,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
21.0,4,9,14.0,5,42.0,20.0,2000.0,2,0,3,38,214273.535,37492,156,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
69.0,2,15,11.0,11,4.0,20.0,3816.0,5,0,3,38,495422.763,17718,157,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
40.0,2,9,14.0,7,52.0,20.0,2000.0,3,1,4,38,230165.32100000005,42576,159,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
66.0,4,3,3.0,9,22.0,20.0,2000.0,2,0,2,38,32856.821,25196,160,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26.0,1,11,10.0,3,42.0,20.0,2000.0,2,0,4,8,90012.871,26095,163,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
43.0,4,12,15.0,11,42.0,20.0,2000.0,1,0,4,38,194104.76,45098,164,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
34.0,4,15,11.0,7,42.0,20.0,2000.0,5,1,3,25,204848.254,17956,165,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
44.0,4,12,15.0,10,42.0,20.0,2000.0,5,1,4,38,99503.586,22889,167,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
16.0,4,1,8.0,5,0.0,20.0,2000.0,4,0,3,38,26017.19100000001,25508,168,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25.0,4,11,10.0,7,42.0,20.0,3980.0,2,1,3,38,130593.783,22935,170,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
26.0,4,11,10.0,10,42.0,20.0,2000.0,1,0,2,38,170124.875,47335,171,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
49.0,4,15,11.0,11,42.0,20.0,3977.0,1,1,4,38,98785.242,18344,172,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
26.0,4,9,14.0,9,42.0,20.0,2000.0,1,0,3,38,145386.87699999998,37306,174,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
25.0,4,11,10.0,11,0.0,20.0,2000.0,5,1,3,38,256166.19,32105,175,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
32.0,2,11,10.0,5,42.0,20.0,2000.0,2,0,4,38,489364.526,42833,177,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
16.0,4,11,10.0,7,14.0,20.0,2000.0,4,1,4,38,190553.322,10356,178,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
31.0,4,9,14.0,9,67.0,20.0,2000.0,1,0,3,38,35837.092000000004,18187,179,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
41.0,4,15,11.0,0,42.0,20.0,2000.0,2,1,2,38,115486.416,44702,181,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
28.0,2,15,11.0,2,0.0,20.0,2000.0,2,0,3,38,626874.6120000001,43278,182,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
35.0,4,15,11.0,0,44.0,20.0,2000.0,1,1,3,38,29877.983,11743,184,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
39.0,4,9,14.0,3,42.0,20.0,2000.0,2,0,2,38,147609.794,24666,186,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
51.0,4,9,14.0,9,52.0,20.0,2000.0,2,0,2,38,130618.387,48699,187,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
29.0,4,12,15.0,9,52.0,20.0,2000.0,6,1,3,38,98867.756,22364,188,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
22.0,4,15,11.0,6,42.0,20.0,2000.0,1,0,4,38,156563.689,23954,191,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
39.0,2,9,14.0,2,42.0,20.0,2000.0,1,0,4,38,521600.001,14445,192,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45.0,4,15,11.0,12,47.0,20.0,2000.0,1,1,3,38,121777.702,38026,193,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
39.0,4,9,14.0,12,26.0,20.0,2000.0,1,1,4,38,129558.462,23179,194,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
21.0,4,4,4.0,13,42.0,20.0,2000.0,3,1,4,25,203884.538,22960,195,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
